term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
keep_america_great,-1.75,0.89,0,503,1,0,1,0,3,519,14,503,199,3,61,9,189,29,23,6,0.261,0.059,0,6,1,5,5,0.75,0,29,23,6,0.061,0.261,0,0.98,5.82,-0.75,-0.34,0.81,3.43,18
looking_forward_joining,-1.66,1.08,0,315,1,0,1,0,3,659,344,315,288,99,78,170,118,24,21,3,0.143,0.038,0,10,10,0,0,0.03,0,24,21,3,0.082,0.143,0,0.68,2.94,-0.3,-1.41,0.961,4.81,23
criminal_justice_reform,-3.01,1.3,0,276,1,1,1,0,3,946,640,276,387,80,42,259,115,20,19,1,0.053,0.022,0,20,17,3,0.176,0.032,0,19,13,6,0.074,0.462,0,-0.06,-0.4,-1.68,-6.93,1.292,3.45,23
right_keep_bear,-5.61,3.1,0,183,1,0,1,1,3,192,6,183,115,0,31,6,106,8,8,0,0,0.043,0,1,1,0,0,0.2,0,8,8,0,0.046,0,0,0.29,5.37,0,0,3.065,6.27,15
keep_bear_arms,-5.19,2.92,0,206,1,0,1,1,3,216,7,206,125,0,35,7,115,9,7,2,0.286,0.043,0,1,1,0,0,0.167,0,9,7,2,0.046,0.286,0,0.36,5.77,0,0,2.826,6.55,14
president_trump_administration,-4.94,2.2,0,62,1,0,1,0,3,140,78,62,97,46,27,53,44,10,5,5,1,0.077,0,10,5,5,1,0.147,0,4,4,0,0.069,0,0,-0.01,-0.19,-0.6,-1.61,2.117,3.66,30
common_sense_solutions,-0.55,-1.7,0,93,1,1,1,0,3,222,128,93,137,42,25,84,52,11,8,3,0.375,0.052,0,8,7,1,0.143,0.067,0,11,6,5,0.134,0.833,0,0.04,0.5,1.83,4.97,-1.506,-3.43,22
duly_elected_president,-3.48,2.26,0,273,1,0,1,1,3,282,6,273,121,3,58,6,113,23,19,4,0.211,0.089,0,1,1,0,0,0.2,0,23,19,4,0.092,0.211,0,0.85,6.19,1.08,0.6,2.163,8.05,22
need_help_need,-0.86,-2.18,0,56,1,0,1,0,3,160,103,56,119,38,18,82,36,10,5,5,1,0.067,0,4,4,0,0,0.04,0,10,5,5,0.217,1,0,-0.02,-0.51,0.7,1.66,-2.048,-3.22,14
black_lives_matter,-5.47,2.65,0,570,1,1,1,0,3,1398,801,570,459,117,19,326,120,33,32,1,0.031,0.024,0,25,19,6,0.316,0.032,0,33,32,1,0.061,0.031,0,-0.51,-3.98,-1.12,-5.5,2.151,4.08,18
trump_derangement_syndrome,-4.61,2.26,0,155,1,0,1,1,3,159,2,155,73,0,25,1,71,10,9,1,0.111,0.067,0,2,0,2,0,0,0,10,9,1,0.069,0.111,0,0.3,5.6,0,0,1.997,4.45,26
low_income_families,-0.16,-2.17,0,71,1,0,1,0,3,373,300,71,220,116,31,168,50,10,9,1,0.111,0.028,0,9,8,1,0.125,0.031,0,10,5,5,0.164,1,0,-0.35,-3.13,-0.05,-0.23,-2.271,-4.91,19
farm_workforce_modernization,-0.44,-1.78,0,53,1,1,1,0,3,137,84,53,53,34,11,38,15,21,12,9,0.75,0.181,0,12,9,3,0.333,0.167,0,21,8,13,0.656,1.625,0,-0.05,-0.4,1.97,5.44,-1.935,-4.19,28
coronavirus_food_assistance,0.01,-0.8,0,191,1,1,1,0,3,251,60,191,121,29,85,31,90,9,8,1,0.125,0.037,0,9,4,5,1.25,0.176,0,8,7,1,0.044,0.143,0,0.66,5.88,3.18,7.07,-0.974,-3.93,27
kind_words_support,1.85,-6.21,0,92,1,0,1,0,3,172,78,92,82,8,11,45,35,23,17,6,0.353,0.154,0,7,6,1,0.167,0.099,0,23,17,6,0.333,0.353,0,0.18,1.75,-0.18,-0.17,-6.165,-10.53,18
minority_serving_institutions,-0.8,-2.57,0,18,1,0,1,0,3,152,134,18,74,58,10,64,10,10,7,3,0.429,0.07,0,10,7,3,0.429,0.081,0,5,3,2,0.385,0.667,0,-0.25,-2.66,-0.4,-1.47,-2.537,-3.49,29
citizenship_question_census,-7.31,3.73,0,46,1,1,1,0,3,153,103,46,104,55,17,71,30,5,5,0,0,0.034,0,5,5,0,0,0.051,0,5,3,2,0.122,0.667,0,-0.06,-1.07,-1.1,-3.25,3.271,4.44,27
protect_american_lives,-4.34,1.84,0,48,1,0,1,0,3,100,52,48,81,35,31,43,38,6,4,2,0.5,0.064,0,4,3,1,0.333,0.083,0,6,2,4,0.143,2,0,0.11,2.29,0.43,0.88,1.686,3.3,22
high_crimes_misdemeanors,-4.36,2.32,0,112,1,0,1,0,3,233,110,112,136,44,36,73,59,8,7,1,0.143,0.036,0,7,6,1,0.167,0.068,0,8,7,1,0.077,0.143,0,0.21,2.3,-0.72,-2.03,1.948,5.26,24
law_abiding_citizens,-3.57,1.9,0,393,1,0,1,1,3,413,17,393,197,6,51,15,180,27,10,17,1.7,0.07,0,2,2,0,0,0.133,0,27,10,17,0.074,1.7,0,0.51,7.72,2.12,1.77,1.739,5.19,20
nursing_home_residents,-0.87,-1.93,0,45,1,0,1,0,3,142,95,45,93,43,23,56,35,16,8,8,1,0.127,0,16,8,8,1,0.203,0,4,3,1,0.098,0.333,0,-0.05,-0.6,-0.36,-1.06,-1.887,-3.21,22
im_grateful_support,-0.76,-2.2,0,59,1,0,1,0,3,194,135,59,104,21,17,70,34,13,9,4,0.444,0.072,0,9,7,2,0.286,0.071,0,13,6,7,0.283,1.167,0,0.05,1.02,-0.29,-0.58,-1.916,-3.22,19
national_security_threat,-4.01,1.95,0,90,1,0,1,0,3,265,165,90,155,55,33,96,54,15,14,1,0.071,0.06,0,15,9,6,0.667,0.1,0,14,4,10,0.184,2.5,0,0.16,1.72,-0.46,-1.43,1.712,4.35,24
restore_law_order,-3.84,1.76,0,137,1,0,1,1,3,142,2,137,83,1,36,2,78,8,7,1,0.143,0.06,0,1,1,0,0,1,0,8,7,1,0.062,0.143,0,0.35,6.29,4.38,1.16,1.548,3.83,17
obama_biden_administration,-4.58,2.14,0,139,1,0,1,1,3,183,44,139,73,10,24,19,54,25,17,8,0.471,0.158,0,17,8,9,1.125,0.63,0,25,17,8,0.219,0.471,0,0.21,3.89,-0.06,-0.07,2.01,4.07,26
veterans_crisis_line,-0.48,-2.67,0,29,1,1,1,0,3,124,95,29,95,65,19,73,22,4,3,1,0.333,0.033,0,3,3,0,0,0.033,0,4,3,1,0.16,0.333,0,-0.14,-2.72,1.46,4.31,-2.546,-4.01,20
lower_prescription_drug,-0.23,-1.15,0,125,1,1,1,0,3,673,546,125,289,150,51,221,66,16,14,2,0.143,0.024,0,16,14,2,0.143,0.03,0,7,6,1,0.059,0.167,0,-0.52,-2.92,0.84,5.52,-1.117,-3.65,23
prescription_drug_costs,-0.14,-1.1,0,145,1,1,1,0,3,839,693,145,310,156,56,237,72,27,19,8,0.421,0.033,0,27,19,8,0.421,0.041,0,7,7,0,0.051,0,0,-0.63,-2.6,1.61,11.84,-1.032,-3.65,23
lt_col_vindman,-7.95,3.84,0,21,1,0,1,0,3,358,327,21,166,98,9,147,15,17,14,3,0.214,0.05,0,17,14,3,0.214,0.055,0,4,3,1,0.235,0.333,0,-0.59,-4.5,-0.49,-2.44,3.814,3.74,14
work_across_aisle,-0.39,-1.42,0,106,1,1,1,0,3,342,231,106,169,64,39,105,61,11,8,3,0.375,0.033,0,11,8,3,0.375,0.05,0,8,6,2,0.082,0.333,0,0.02,0.16,2.9,10.62,-1.233,-3.44,17
join_telephone_town,-4.93,2.06,0,30,1,1,1,0,3,158,128,30,87,62,20,66,21,9,6,3,0.5,0.06,0,9,6,3,0.5,0.076,0,5,3,2,0.2,0.667,0,-0.26,-2.96,1.04,3.7,2.078,3.25,19
help_save_lives,-0.37,-1.09,0,131,1,0,1,0,3,496,365,131,244,134,63,167,77,17,12,5,0.417,0.035,0,17,12,5,0.417,0.049,0,11,9,2,0.092,0.222,0,-0.39,-2.51,0.08,0.46,-1.04,-3.28,15
federal_funding_help,0.1,-3.43,0,28,1,0,1,0,3,145,117,28,70,50,16,53,17,22,9,13,1.444,0.179,0,22,9,13,1.444,0.232,0,4,4,0,0.167,0,0,-0.24,-1.93,-0.17,-0.57,-3.134,-5.15,20
covid_relief_package,0.81,-2,0,173,1,1,1,0,3,574,400,173,245,130,68,162,82,19,11,8,0.727,0.034,0,11,10,1,0.1,0.028,0,19,10,9,0.123,0.9,0,-0.39,-2.17,0.6,3.55,-2.026,-7.7,20
millions_americans_work,-4.4,1.78,0,48,1,0,1,0,3,158,109,48,112,61,24,79,32,5,4,1,0.25,0.033,0,5,4,1,0.25,0.048,0,4,3,1,0.091,0.333,0,-0.11,-1.82,0.05,0.16,1.826,3.12,23
mental_health_challenges,-1.02,-1.99,0,27,1,1,1,0,3,102,75,27,67,35,18,46,21,6,5,1,0.2,0.062,0,6,5,1,0.2,0.087,0,3,2,1,0.125,0.5,0,-0.04,-0.62,1.42,3.62,-1.995,-3.05,24
support_working_families,-0.6,-2.17,0,30,1,0,1,0,3,169,139,30,111,57,14,97,14,11,4,7,1.75,0.07,0,4,3,1,0.333,0.03,0,11,3,8,0.579,2.667,0,-0.09,-1.15,0.21,0.64,-2.077,-3.7,24
