term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
family_farms,-1.22,3.4,0,87,1,1,1,0,2,108,87,21,72,10,13,53,19,5,4,1,0.25,0.049,0,5,4,1,0.25,0.061,0,2,2,0,0.105,0,0,0.02,0.41,3.22,3.82,-2.087,-2.38,12
debt_free,-6.35,-3.05,0,84,1,1,0,0,2,98,84,13,62,11,1,55,6,7,7,0,0,0.077,0,7,3,4,1.333,0.091,0,7,2,5,1.167,2.5,0,-0.07,-1.87,-3,-4.09,1.62,0.41,9
burdensome_regulations,-2.96,2.48,0,8,1,1,0,0,2,93,8,85,83,4,38,6,77,2,2,0,0,0.022,0,2,2,0,0,0.333,0,2,2,0,0.024,0,0,0.24,6.28,2.47,1.66,0.517,0.88,22
americans_disabilities,-2.81,1.46,0,56,1,1,0,0,2,65,56,9,43,7,0,39,4,5,5,0,0,0.083,0,5,5,0,0,0.098,0,4,3,1,0.8,0.333,0,0.01,0.19,2.55,2.25,0,0,22
sexual_violence,-5.56,-2.43,0,58,1,1,0,0,2,59,58,1,35,16,0,34,1,17,3,14,4.667,0.405,0,17,3,14,4.667,0.415,0,1,0,1,0,0,0,-0.03,-1.05,-2.09,-3.08,0,0,15
health_issue,-2.42,1.81,0,49,1,1,0,0,2,53,49,4,48,12,0,44,4,2,2,0,0,0.039,0,2,2,0,0,0.043,0,1,1,0,0.333,0,0,-0.04,-1.94,1.99,2.14,0,0,12
improve_access,-2.02,1.55,0,59,1,1,0,0,2,76,59,17,66,21,7,49,17,3,2,1,0.5,0.041,0,3,2,1,0.5,0.054,0,1,1,0,0.062,0,0,-0.03,-1.05,1.68,2.49,-0.234,-0.16,14
improve_healthcare,-1.54,2.61,0,36,1,1,0,0,2,58,36,22,50,16,5,31,19,3,2,1,0.5,0.055,0,3,2,1,0.5,0.091,0,2,2,0,0.1,0,0,-0.03,-0.94,2.76,3.41,-0.557,-0.34,18
programs_help,-2.22,0.57,0,100,1,1,0,0,2,126,100,25,112,33,10,87,24,4,3,1,0.333,0.033,0,4,3,1,0.333,0.042,0,2,1,1,0.087,1,0,-0.04,-0.9,0.86,1.66,-0.569,-0.49,13
need_keep,-2.06,1.78,0,43,1,1,0,0,2,73,43,29,67,16,9,39,27,2,2,0,0,0.028,0,2,2,0,0,0.049,0,2,2,0,0.074,0,0,-0.01,-0.42,1.89,2.52,0.914,0.7,9
