state,county_name,gov_cand_dem,dem_gov_percent,pres_cand_dem,dem_pres_percent,dem_gov_avgIdeal,dem_pres_avgIdeal,dem_gov_votes,dem_pres_votes,dem_pres_inc,dem_gov_inc,gov_cand_rep,rep_gov_percent,pres_cand_rep,rep_pres_percent,rep_gov_avgIdeal,rep_pres_avgIdeal,rep_gov_votes,rep_pres_votes,rep_pres_inc,rep_gov_inc,Income.Median Houseold Income,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,population,year,state_medianIncome,state_blackPct,state_hispPct,state_baPct,state_trumppct2016,state_trumppct2020,gov_cand_dem_gender,gov_cand_rep_gender,rep_man_vs_dem_woman,dem_man_vs_rep_woman
Indiana,CARROLL,Woodrow A. Jr. Myers,0.2052,Joseph R. Jr. Biden,0.2389,-0.78,-1.42,1569,2224,Challenger,Challenger,Eric Holcomb,0.7948,Donald J. Trump,0.7611,0.61,1.62,6077,7086,Incumbent,Incumbent,54806,1,4.3,16.7,20306,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,CASS,Woodrow A. Jr. Myers,0.2763,Joseph R. Jr. Biden,0.2897,-0.78,-1.42,3373,4304,Challenger,Challenger,Eric Holcomb,0.7237,Donald J. Trump,0.7103,0.61,1.62,8833,10552,Incumbent,Incumbent,49415,2.4,16.5,13.3,37870,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,CLARK,Woodrow A. Jr. Myers,0.3549,Joseph R. Jr. Biden,0.4068,-0.78,-1.42,19077,23093,Challenger,Challenger,Eric Holcomb,0.6451,Donald J. Trump,0.5932,0.61,1.62,34669,33668,Incumbent,Incumbent,55630,8.4,5.7,21.2,121093,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,CLAY,Woodrow A. Jr. Myers,0.179,Joseph R. Jr. Biden,0.2118,-0.78,-1.42,1780,2552,Challenger,Challenger,Eric Holcomb,0.821,Donald J. Trump,0.7882,0.61,1.62,8164,9499,Incumbent,Incumbent,55637,0.7,1.5,17,26466,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,CLINTON,Woodrow A. Jr. Myers,0.2319,Joseph R. Jr. Biden,0.2647,-0.78,-1.42,2406,3361,Challenger,Challenger,Eric Holcomb,0.7681,Donald J. Trump,0.7353,0.61,1.62,7971,9334,Incumbent,Incumbent,54286,0.8,16.5,16.3,33190,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,CRAWFORD,Woodrow A. Jr. Myers,0.2884,Joseph R. Jr. Biden,0.2801,-0.78,-1.42,1242,1355,Challenger,Challenger,Eric Holcomb,0.7116,Donald J. Trump,0.7199,0.61,1.62,3064,3483,Incumbent,Incumbent,41662,0.7,1.6,10.3,10526,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,DAVIESS,Woodrow A. Jr. Myers,0.1555,Joseph R. Jr. Biden,0.1847,-0.78,-1.42,1531,2169,Challenger,Challenger,Eric Holcomb,0.8445,Donald J. Trump,0.8153,0.61,1.62,8313,9576,Incumbent,Incumbent,53629,2.3,5.2,13.2,33381,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,DEARBORN,Woodrow A. Jr. Myers,0.199,Joseph R. Jr. Biden,0.2181,-0.78,-1.42,4559,5446,Challenger,Challenger,Eric Holcomb,0.801,Donald J. Trump,0.7819,0.61,1.62,18353,19528,Incumbent,Incumbent,68658,0.7,1.4,22.9,50679,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,DECATUR,Woodrow A. Jr. Myers,0.1649,Joseph R. Jr. Biden,0.203,-0.78,-1.42,1562,2439,Challenger,Challenger,Eric Holcomb,0.8351,Donald J. Trump,0.797,0.61,1.62,7911,9575,Incumbent,Incumbent,57949,0.6,2.1,20.6,26472,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,DEKALB,Woodrow A. Jr. Myers,0.2016,Joseph R. Jr. Biden,0.2586,-0.78,-1.42,3293,4966,Challenger,Challenger,Eric Holcomb,0.7984,Donald J. Trump,0.7414,0.61,1.62,13042,14237,Incumbent,Incumbent,56421,0.6,2.8,18,43265,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,DELAWARE,Woodrow A. Jr. Myers,0.3682,Joseph R. Jr. Biden,0.4328,-0.78,-1.42,15638,20474,Challenger,Challenger,Eric Holcomb,0.6318,Donald J. Trump,0.5672,0.61,1.62,26829,26827,Incumbent,Incumbent,43512,7.2,2.6,23.7,111903,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,DUBOIS,Woodrow A. Jr. Myers,0.2415,Joseph R. Jr. Biden,0.2951,-0.78,-1.42,4586,6292,Challenger,Challenger,Eric Holcomb,0.7585,Donald J. Trump,0.7049,0.61,1.62,14403,15033,Incumbent,Incumbent,60666,0.9,8.7,23.7,43637,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,ELKHART,Woodrow A. Jr. Myers,0.3074,Joseph R. Jr. Biden,0.3573,-0.78,-1.42,20512,26108,Challenger,Challenger,Eric Holcomb,0.6926,Donald J. Trump,0.6427,0.61,1.62,46223,46972,Incumbent,Incumbent,57021,6.1,16.8,19.8,207047,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,FAYETTE,Woodrow A. Jr. Myers,0.1976,Joseph R. Jr. Biden,0.2239,-0.78,-1.42,1707,2237,Challenger,Challenger,Eric Holcomb,0.8024,Donald J. Trump,0.7761,0.61,1.62,6933,7755,Incumbent,Incumbent,46175,1.5,1.5,13.3,23398,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,FLOYD,Woodrow A. Jr. Myers,0.3744,Joseph R. Jr. Biden,0.428,-0.78,-1.42,14948,17511,Challenger,Challenger,Eric Holcomb,0.6256,Donald J. Trump,0.572,0.61,1.62,24972,23400,Incumbent,Incumbent,64468,5.5,3.5,29.6,80484,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,FOUNTAIN,Woodrow A. Jr. Myers,0.1814,Joseph R. Jr. Biden,0.2093,-0.78,-1.42,1150,1629,Challenger,Challenger,Eric Holcomb,0.8186,Donald J. Trump,0.7907,0.61,1.62,5189,6154,Incumbent,Incumbent,52874,0.6,2.7,14.9,16479,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,FRANKLIN,Woodrow A. Jr. Myers,0.1637,Joseph R. Jr. Biden,0.1807,-0.78,-1.42,1690,2137,Challenger,Challenger,Eric Holcomb,0.8363,Donald J. Trump,0.8193,0.61,1.62,8633,9691,Incumbent,Incumbent,62462,0.3,1.3,21.1,22785,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,FULTON,Woodrow A. Jr. Myers,0.2277,Joseph R. Jr. Biden,0.2541,-0.78,-1.42,1603,2280,Challenger,Challenger,Eric Holcomb,0.7723,Donald J. Trump,0.7459,0.61,1.62,5436,6694,Incumbent,Incumbent,52034,0.9,5.4,15.8,20480,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,GIBSON,Woodrow A. Jr. Myers,0.2048,Joseph R. Jr. Biden,0.254,-0.78,-1.42,2990,4023,Challenger,Challenger,Eric Holcomb,0.7952,Donald J. Trump,0.746,0.61,1.62,11607,11817,Incumbent,Incumbent,55462,2.7,1.8,18,33011,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,GRANT,Woodrow A. Jr. Myers,0.2577,Joseph R. Jr. Biden,0.3018,-0.78,-1.42,5849,8015,Challenger,Challenger,Eric Holcomb,0.7423,Donald J. Trump,0.6982,0.61,1.62,16847,18543,Incumbent,Incumbent,44356,7.4,4.4,17.9,66674,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,GREENE,Woodrow A. Jr. Myers,0.2077,Joseph R. Jr. Biden,0.2339,-0.78,-1.42,2511,3389,Challenger,Challenger,Eric Holcomb,0.7923,Donald J. Trump,0.7661,0.61,1.62,9579,11103,Incumbent,Incumbent,51613,0.3,1.6,14.9,30803,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HAMILTON,Woodrow A. Jr. Myers,0.3327,Joseph R. Jr. Biden,0.4653,-0.78,-1.42,58714,88390,Challenger,Challenger,Eric Holcomb,0.6673,Donald J. Trump,0.5347,0.61,1.62,117749,101587,Incumbent,Incumbent,98173,4.5,4.3,59.3,347467,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HANCOCK,Woodrow A. Jr. Myers,0.2498,Joseph R. Jr. Biden,0.3078,-0.78,-1.42,8538,12895,Challenger,Challenger,Eric Holcomb,0.7502,Donald J. Trump,0.6922,0.61,1.62,25647,28996,Incumbent,Incumbent,74072,3.2,2.6,30.8,79840,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HARRISON,Woodrow A. Jr. Myers,0.2427,Joseph R. Jr. Biden,0.2684,-0.78,-1.42,4514,5343,Challenger,Challenger,Eric Holcomb,0.7573,Donald J. Trump,0.7316,0.61,1.62,14083,14565,Incumbent,Incumbent,57712,0.7,2.1,18.7,39654,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HENDRICKS,Woodrow A. Jr. Myers,0.3138,Joseph R. Jr. Biden,0.3773,-0.78,-1.42,23179,32604,Challenger,Challenger,Eric Holcomb,0.6862,Donald J. Trump,0.6227,0.61,1.62,50697,53802,Incumbent,Incumbent,81933,7.8,4.3,37,174788,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HENRY,Woodrow A. Jr. Myers,0.2484,Joseph R. Jr. Biden,0.2693,-0.78,-1.42,4128,5544,Challenger,Challenger,Eric Holcomb,0.7516,Donald J. Trump,0.7307,0.61,1.62,12491,15043,Incumbent,Incumbent,49832,2.7,2,16.4,48914,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HOWARD,Woodrow A. Jr. Myers,0.2884,Joseph R. Jr. Biden,0.3346,-0.78,-1.42,9871,13303,Challenger,Challenger,Eric Holcomb,0.7116,Donald J. Trump,0.6654,0.61,1.62,24359,26449,Incumbent,Incumbent,52373,7.9,3.5,21.6,83658,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,HUNTINGTON,Woodrow A. Jr. Myers,0.1925,Joseph R. Jr. Biden,0.2445,-0.78,-1.42,2804,4255,Challenger,Challenger,Eric Holcomb,0.8075,Donald J. Trump,0.7555,0.61,1.62,11759,13147,Incumbent,Incumbent,53632,0.8,2.8,20.1,36662,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,JACKSON,Woodrow A. Jr. Myers,0.2164,Joseph R. Jr. Biden,0.2281,-0.78,-1.42,3234,4302,Challenger,Challenger,Eric Holcomb,0.7836,Donald J. Trump,0.7719,0.61,1.62,11714,14555,Incumbent,Incumbent,51250,1.3,7.8,16.7,46428,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,JASPER,Woodrow A. Jr. Myers,0.2186,Joseph R. Jr. Biden,0.2502,-0.78,-1.42,2904,3798,Challenger,Challenger,Eric Holcomb,0.7814,Donald J. Trump,0.7498,0.61,1.62,10378,11383,Incumbent,Incumbent,63892,0.9,6.2,14.3,32918,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,JAY,Woodrow A. Jr. Myers,0.1917,Joseph R. Jr. Biden,0.2324,-0.78,-1.42,1240,1926,Challenger,Challenger,Eric Holcomb,0.8083,Donald J. Trump,0.7676,0.61,1.62,5227,6361,Incumbent,Incumbent,47658,0.5,3.2,11.4,20478,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,JEFFERSON,Woodrow A. Jr. Myers,0.2902,Joseph R. Jr. Biden,0.3287,-0.78,-1.42,3711,4731,Challenger,Challenger,Eric Holcomb,0.7098,Donald J. Trump,0.6713,0.61,1.62,9076,9663,Incumbent,Incumbent,52718,2.2,3,17.9,33147,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,JENNINGS,Woodrow A. Jr. Myers,0.2037,Joseph R. Jr. Biden,0.21,-0.78,-1.42,1930,2523,Challenger,Challenger,Eric Holcomb,0.7963,Donald J. Trump,0.79,0.61,1.62,7547,9490,Incumbent,Incumbent,54191,0.9,2.6,12,27613,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,JOHNSON,Woodrow A. Jr. Myers,0.2708,Joseph R. Jr. Biden,0.3257,-0.78,-1.42,17630,24736,Challenger,Challenger,Eric Holcomb,0.7292,Donald J. Trump,0.6743,0.61,1.62,47467,51219,Incumbent,Incumbent,72440,2.6,3.8,32.7,161765,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,KNOX,Woodrow A. Jr. Myers,0.2004,Joseph R. Jr. Biden,0.2587,-0.78,-1.42,2809,4067,Challenger,Challenger,Eric Holcomb,0.7996,Donald J. Trump,0.7413,0.61,1.62,11210,11655,Incumbent,Incumbent,47380,3,2.3,16.9,36282,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,KOSCIUSKO,Woodrow A. Jr. Myers,0.2007,Joseph R. Jr. Biden,0.2399,-0.78,-1.42,5784,8364,Challenger,Challenger,Eric Holcomb,0.7993,Donald J. Trump,0.7601,0.61,1.62,23029,26499,Incumbent,Incumbent,61366,1.1,8.2,23.3,80240,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,LA PORTE,Woodrow A. Jr. Myers,0.4097,Joseph R. Jr. Biden,0.4631,-0.78,-1.42,18133,22427,Challenger,Challenger,Eric Holcomb,0.5903,Donald J. Trump,0.5369,0.61,1.62,26129,25997,Incumbent,Incumbent,53658,11.6,6.9,18,112417,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,LAGRANGE,Woodrow A. Jr. Myers,0.1835,Joseph R. Jr. Biden,0.225,-0.78,-1.42,1690,2355,Challenger,Challenger,Eric Holcomb,0.8165,Donald J. Trump,0.775,0.61,1.62,7520,8110,Incumbent,Incumbent,64498,0.5,4.2,10.5,40446,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,LAKE,Woodrow A. Jr. Myers,0.5423,Joseph R. Jr. Biden,0.5764,-0.78,-1.42,112352,124870,Challenger,Challenger,Eric Holcomb,0.4577,Donald J. Trump,0.4236,0.61,1.62,94841,91760,Incumbent,Incumbent,56128,24.4,19.6,22.6,498700,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,LAWRENCE,Woodrow A. Jr. Myers,0.2129,Joseph R. Jr. Biden,0.2413,-0.78,-1.42,3616,4961,Challenger,Challenger,Eric Holcomb,0.7871,Donald J. Trump,0.7587,0.61,1.62,13371,15601,Incumbent,Incumbent,53610,0.5,1.7,15.8,45011,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MADISON,Woodrow A. Jr. Myers,0.3263,Joseph R. Jr. Biden,0.3848,-0.78,-1.42,14254,19524,Challenger,Challenger,Eric Holcomb,0.6737,Donald J. Trump,0.6152,0.61,1.62,29434,31215,Incumbent,Incumbent,49522,8.6,4.4,18.4,130129,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MARION,Woodrow A. Jr. Myers,0.5718,Joseph R. Jr. Biden,0.6487,-0.78,-1.42,203475,247772,Challenger,Challenger,Eric Holcomb,0.4282,Donald J. Trump,0.3513,0.61,1.62,152405,134175,Incumbent,Incumbent,48316,29.1,10.9,30.9,977203,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MARSHALL,Woodrow A. Jr. Myers,0.2344,Joseph R. Jr. Biden,0.2921,-0.78,-1.42,4025,5712,Challenger,Challenger,Eric Holcomb,0.7656,Donald J. Trump,0.7079,0.61,1.62,13145,13844,Incumbent,Incumbent,52658,0.8,10.7,19.7,46095,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MARTIN,Woodrow A. Jr. Myers,0.1799,Joseph R. Jr. Biden,0.2006,-0.78,-1.42,709,1011,Challenger,Challenger,Eric Holcomb,0.8201,Donald J. Trump,0.7994,0.61,1.62,3232,4029,Incumbent,Incumbent,52726,0.4,1.2,13.7,9812,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MIAMI,Woodrow A. Jr. Myers,0.2094,Joseph R. Jr. Biden,0.2285,-0.78,-1.42,2439,3235,Challenger,Challenger,Eric Holcomb,0.7906,Donald J. Trump,0.7715,0.61,1.62,9208,10925,Incumbent,Incumbent,50657,5.1,3.5,13,35962,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MONROE,Woodrow A. Jr. Myers,0.5731,Joseph R. Jr. Biden,0.6436,-0.78,-1.42,33033,39861,Challenger,Challenger,Eric Holcomb,0.4269,Donald J. Trump,0.3564,0.61,1.62,24605,22071,Incumbent,Incumbent,49839,3.7,3.6,45.7,139718,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MONTGOMERY,Woodrow A. Jr. Myers,0.2099,Joseph R. Jr. Biden,0.2497,-0.78,-1.42,2812,4213,Challenger,Challenger,Eric Holcomb,0.7901,Donald J. Trump,0.7503,0.61,1.62,10587,12659,Incumbent,Incumbent,55522,1.1,4.9,18.2,37936,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,MORGAN,Woodrow A. Jr. Myers,0.2018,Joseph R. Jr. Biden,0.2205,-0.78,-1.42,5602,7781,Challenger,Challenger,Eric Holcomb,0.7982,Donald J. Trump,0.7795,0.61,1.62,22161,27512,Incumbent,Incumbent,64335,0.5,1.7,17.3,71780,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,NEWTON,Woodrow A. Jr. Myers,0.2085,Joseph R. Jr. Biden,0.2339,-0.78,-1.42,1148,1509,Challenger,Challenger,Eric Holcomb,0.7915,Donald J. Trump,0.7661,0.61,1.62,4358,4942,Incumbent,Incumbent,55356,1,6.9,11.9,13830,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,NOBLE,Woodrow A. Jr. Myers,0.2057,Joseph R. Jr. Biden,0.2471,-0.78,-1.42,3237,4660,Challenger,Challenger,Eric Holcomb,0.7943,Donald J. Trump,0.7529,0.61,1.62,12498,14195,Incumbent,Incumbent,56789,1.2,10.5,13.7,47457,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,OHIO,Woodrow A. Jr. Myers,0.2248,Joseph R. Jr. Biden,0.2454,-0.78,-1.42,641,668,Challenger,Challenger,Eric Holcomb,0.7752,Donald J. Trump,0.7546,0.61,1.62,2210,2054,Incumbent,Incumbent,60128,0.6,1.7,14.7,5940,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,ORANGE,Woodrow A. Jr. Myers,0.2588,Joseph R. Jr. Biden,0.2569,-0.78,-1.42,1952,2224,Challenger,Challenger,Eric Holcomb,0.7412,Donald J. Trump,0.7431,0.61,1.62,5591,6432,Incumbent,Incumbent,47917,1.7,1.8,10.9,19867,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,OWEN,Woodrow A. Jr. Myers,0.2402,Joseph R. Jr. Biden,0.2493,-0.78,-1.42,1852,2420,Challenger,Challenger,Eric Holcomb,0.7598,Donald J. Trump,0.7507,0.61,1.62,5857,7286,Incumbent,Incumbent,49543,0.5,1.3,13.1,21321,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,PARKE,Woodrow A. Jr. Myers,0.1912,Joseph R. Jr. Biden,0.2177,-0.78,-1.42,1127,1503,Challenger,Challenger,Eric Holcomb,0.8088,Donald J. Trump,0.7823,0.61,1.62,4766,5400,Incumbent,Incumbent,52618,2.7,1.8,12,16156,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,PERRY,Woodrow A. Jr. Myers,0.3131,Joseph R. Jr. Biden,0.3747,-0.78,-1.42,2518,3203,Challenger,Challenger,Eric Holcomb,0.6869,Donald J. Trump,0.6253,0.61,1.62,5523,5345,Incumbent,Incumbent,52348,3,1.4,16.1,19170,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,PIKE,Woodrow A. Jr. Myers,0.2064,Joseph R. Jr. Biden,0.2317,-0.78,-1.42,1092,1415,Challenger,Challenger,Eric Holcomb,0.7936,Donald J. Trump,0.7683,0.61,1.62,4199,4692,Incumbent,Incumbent,50194,0.7,1.6,14.1,12250,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,PORTER,Woodrow A. Jr. Myers,0.4207,Joseph R. Jr. Biden,0.469,-0.78,-1.42,33397,39746,Challenger,Challenger,Eric Holcomb,0.5793,Donald J. Trump,0.531,0.61,1.62,45996,45008,Incumbent,Incumbent,71152,4.4,10.4,28.4,173215,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,POSEY,Woodrow A. Jr. Myers,0.2233,Joseph R. Jr. Biden,0.2928,-0.78,-1.42,2773,3811,Challenger,Challenger,Eric Holcomb,0.7767,Donald J. Trump,0.7072,0.61,1.62,9648,9206,Incumbent,Incumbent,64196,1.1,1.2,21.9,25222,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,PULASKI,Woodrow A. Jr. Myers,0.2083,Joseph R. Jr. Biden,0.2563,-0.78,-1.42,1019,1463,Challenger,Challenger,Eric Holcomb,0.7917,Donald J. Trump,0.7437,0.61,1.62,3874,4246,Incumbent,Incumbent,49580,1,3.1,12.8,12514,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
Indiana,PUTNAM,Woodrow A. Jr. Myers,0.2348,Joseph R. Jr. Biden,0.2432,-0.78,-1.42,2876,3946,Challenger,Challenger,Eric Holcomb,0.7652,Donald J. Trump,0.7568,0.61,1.62,9375,12278,Incumbent,Incumbent,61047,3.8,2,16.8,36726,2020,56303,9.9,7.3,26.5,56.94003344841128,57.02115776570512,M,M,0,0
