term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
charge,-0.72,-0.93,0,167,1,0,1,0,1,377,203,167,266,56,28,151,113,13,11,2,0.182,0.036,0,7,5,2,0.4,0.036,0,13,11,2,0.084,0.182,0,0.03,0.57,0.54,1.41,-0.991,-1.65,6
terrorism,-2.99,1.92,0,209,1,1,1,1,1,381,171,209,218,38,33,101,116,12,8,4,0.5,0.033,0,7,5,2,0.4,0.043,0,12,8,4,0.061,0.5,0,0.37,3.36,0.82,2.05,1.768,3.75,9
filing,-6.36,3.08,0,21,1,0,1,0,1,66,44,21,48,11,6,32,15,6,4,2,0.5,0.1,0,6,4,2,0.5,0.158,0,3,2,1,0.167,0.5,0,0.06,1.75,-1.04,-1.22,3.638,2.53,6
communities,1.06,-1.13,0,729,1,1,1,1,1,3872,3136,729,940,169,75,627,308,47,38,9,0.237,0.012,0,47,38,9,0.237,0.015,0,21,19,2,0.03,0.105,0,-0.9,-3.28,-0.21,-1.86,-1.02,-3.78,11
laid,-9.97,5.37,0,38,1,0,1,0,1,132,94,38,103,11,4,71,32,3,3,0,0,0.023,0,3,3,0,0,0.033,0,3,3,0,0.086,0,0,0,0.02,1.22,1.53,6.055,2.73,4
allies,-2.75,1.08,0,138,1,1,1,0,1,372,234,138,244,43,26,138,106,9,8,1,0.125,0.025,0,9,8,1,0.125,0.04,0,3,3,0,0.022,0,0,0.11,1.38,1.15,3.13,1.16,1.76,6
dream,-0.58,-0.92,0,419,1,0,1,0,1,1006,583,419,521,102,33,303,215,15,11,4,0.364,0.015,0,11,8,3,0.375,0.019,0,15,10,5,0.037,0.5,0,-0.38,-3.21,0.19,0.86,-1.16,-2.11,5
borrowing,-5.09,2.16,0,30,1,0,1,1,1,54,24,30,40,7,8,23,17,7,5,2,0.4,0.149,0,2,1,1,1,0.091,0,7,5,2,0.304,0.4,0,0.08,2.45,0.67,0.55,3.181,2.33,9
counsel,-11.55,6.16,0,54,1,0,1,0,1,131,76,54,93,14,3,62,30,8,7,1,0.143,0.065,0,4,3,1,0.333,0.056,0,8,7,1,0.174,0.143,0,-0.05,-1.86,-0.06,-0.07,6.195,2.27,7
original,-4.89,2.13,0,84,1,0,1,0,1,174,89,84,119,20,12,69,49,9,4,5,1.25,0.055,0,3,3,0,0,0.035,0,9,4,5,0.12,1.25,0,0.04,0.96,-0.38,-0.61,2.178,1.96,8
mexican,-10.8,5.61,0,30,1,1,1,0,1,93,62,30,64,13,3,39,24,5,3,2,0.667,0.057,0,5,3,2,0.667,0.088,0,3,2,1,0.111,0.5,0,-0.06,-1.65,-2.36,-3.45,4.706,1.98,7
finding,-0.79,-1.16,0,86,1,1,1,0,1,256,166,86,207,32,22,130,74,5,3,2,0.667,0.02,0,5,3,2,0.667,0.031,0,3,2,1,0.036,0.5,0,0.05,0.9,0.97,2.02,-1.246,-1.82,7
refugees,-8.34,4.49,0,41,1,1,1,0,1,229,186,41,149,23,6,118,30,6,6,0,0,0.027,0,6,6,0,0,0.033,0,3,3,0,0.079,0,0,-0.04,-0.93,-2.38,-4.32,3.69,2.59,8
rivers,-0.2,-4.64,0,20,1,1,1,0,1,79,56,20,71,15,3,51,19,3,2,1,0.5,0.039,0,2,2,0,0,0.037,0,2,1,1,0.111,1,0,-0.04,-1.41,1.65,2.16,-3.79,-1.93,6
region,0.77,-1.83,0,223,1,1,1,0,1,697,473,223,307,76,37,183,123,18,17,1,0.059,0.027,0,18,17,1,0.059,0.04,0,9,8,1,0.042,0.125,0,-0.25,-1.26,1.02,4.74,-1.85,-4.56,6
alternatives,-5.29,2.58,0,57,1,0,1,1,1,157,97,57,119,15,8,75,41,7,4,3,0.75,0.047,0,4,4,0,0,0.043,0,7,3,4,0.14,1.333,0,0.1,1.97,0.86,1.18,3.002,2.72,12
forced,-3.39,1.77,0,178,1,1,1,0,1,590,406,178,373,48,35,237,132,14,10,4,0.4,0.024,0,14,10,4,0.4,0.036,0,7,6,1,0.041,0.167,0,0.09,1.4,0.7,1.78,1.52,2.46,6
trillion,-1.94,0.96,0,281,1,0,1,0,1,647,361,281,347,43,53,184,161,21,11,10,0.909,0.034,0,11,9,2,0.222,0.031,0,21,9,12,0.081,1.333,0,0.29,2.93,-0.28,-0.82,0.835,1.82,8
compassion,0.29,-4.96,0,56,1,0,1,0,1,164,106,56,132,18,3,84,46,5,4,1,0.25,0.031,0,5,4,1,0.25,0.05,0,4,2,2,0.077,1,0,-0.04,-1.58,-0.97,-1.33,-4.155,-2.49,10
article,-6.12,2.8,0,102,1,0,1,0,1,172,67,102,92,5,8,39,51,8,8,0,0,0.049,0,8,7,1,0.143,0.136,0,8,8,0,0.085,0,0,0.03,1.27,-1.67,-1.3,2.425,1.79,7
receiving,-0.62,-1.3,0,122,1,0,1,0,1,343,221,122,257,44,25,156,101,6,5,1,0.2,0.018,0,6,5,1,0.2,0.028,0,4,3,1,0.034,0.333,0,0.06,1.03,-0.56,-1.46,-1.253,-1.87,9
allows,-2.69,1.28,0,187,1,0,1,0,1,610,423,187,387,69,33,256,131,9,7,2,0.286,0.015,0,9,7,2,0.286,0.022,0,6,6,0,0.033,0,0,0.11,1.37,0.28,0.93,1.107,1.96,6
products,-0.52,-1.24,0,157,1,0,1,0,1,504,347,157,314,48,25,207,107,8,8,0,0,0.016,0,8,7,1,0.143,0.024,0,8,5,3,0.054,0.6,0,0.06,0.76,-0.31,-0.96,-1.195,-1.93,8
adoption,-5.02,2.4,0,111,1,1,1,0,1,201,90,111,149,19,14,75,74,8,6,2,0.333,0.041,0,3,3,0,0,0.034,0,8,6,2,0.078,0.333,0,0.05,1.24,-1.23,-1.84,2.283,2.28,8
agricultural,-0.48,-0.7,0,135,1,1,1,0,1,451,316,135,248,35,36,166,82,9,8,1,0.125,0.02,0,9,8,1,0.125,0.029,0,5,5,0,0.038,0,0,0.14,1.55,1.61,3.9,-0.83,-1.72,12
facility,0.02,-2.3,0,64,1,0,1,0,1,188,124,64,147,33,17,94,53,4,3,1,0.333,0.022,0,4,3,1,0.333,0.033,0,3,3,0,0.049,0,0,0.05,0.95,-0.01,-0.03,-1.889,-2.58,8
