term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
reunite,-2.38,-0.96,0,218,D,1,1,0,1,1,253,218,32,173,95,14,141,29,8,7,1,0.143,0.033,0,8,7,1,0.143,0.038,0,2,2,0,0.067,0,0,-0.4,-4.8,-0.89,-3.62,-0.836,-0.95,7
hash_actonclimate,-0.69,-1.08,0,1062,D,1,1,0,1,2,1065,1062,3,152,123,0,151,1,67,60,7,0.117,0.067,0,67,60,7,0.117,0.067,0,3,0,3,0,0,0,-2.5,-4.02,-0.86,-8.85,0,0,17
erratic,-2.9,-1.07,0,156,D,1,1,0,1,1,174,156,13,100,58,3,82,13,16,10,6,0.6,0.101,0,16,10,6,0.6,0.114,0,1,1,0,0.083,0,0,-0.28,-3.63,-1.05,-3.38,-2.038,-1.02,7
streams,-2.84,-0.95,0,181,D,1,1,0,1,1,246,181,53,155,63,19,114,34,9,8,1,0.125,0.038,0,9,7,2,0.286,0.052,0,8,3,5,0.178,1.667,0,-0.24,-3.64,-1.02,-3.21,-1.762,-2.28,7
hash_nowarwithiran,-4.09,-2.72,0,543,D,1,1,0,1,2,563,543,3,169,62,0,164,1,24,17,7,0.412,0.045,0,24,17,7,0.412,0.046,0,3,0,3,0,0,0,-0.6,-4.16,-2.91,-11.7,0,0,18
transphobic,-4.93,-1.84,0,103,D,1,1,0,1,1,121,103,11,70,28,0,60,8,12,10,2,0.2,0.11,0,12,10,2,0.2,0.132,0,3,2,1,0.375,0.5,0,-0.1,-3.77,-1.92,-3.28,0,0,11
tamir,-4.75,-2.49,0,146,D,1,1,0,1,1,156,146,7,93,45,2,84,7,7,6,1,0.167,0.047,0,7,6,1,0.167,0.05,0,1,1,0,0.167,0,0,-0.22,-3.88,-2.75,-6.91,-1.395,-0.61,5
hash_dreamers,-0.31,-0.64,0,1037,D,1,1,0,1,2,1046,1037,7,256,178,1,249,6,49,38,11,0.289,0.049,0,49,38,11,0.289,0.05,0,2,1,1,0.4,1,0,-2.73,-6.1,-0.6,-5.89,-1.807,-0.49,13
hash_retweetthereport,-3.54,-1.7,0,106,D,1,1,0,1,2,106,106,0,42,42,0,42,0,14,8,6,0.75,0.152,0,14,8,6,0.75,0.152,0,0,0,0,0,0,0,-0.33,-3.36,-1.76,-5.6,0,0,21
latinas,-1.45,-0.99,0,500,D,1,1,0,1,1,513,500,13,162,114,2,153,9,42,30,12,0.4,0.089,0,42,30,12,0.4,0.092,0,2,2,0,0.182,0,0,-1.16,-3.94,-0.9,-5.96,-0.28,-0.17,7
foreclosure,-2.4,-0.85,0,213,D,1,1,0,1,1,229,213,15,135,82,6,123,11,8,7,1,0.143,0.036,0,8,7,1,0.143,0.039,0,3,2,1,0.25,0.5,0,-0.4,-5.08,-0.82,-3.1,-1.672,-0.99,11
hash_remaininmexico,-2.79,-1.47,0,185,D,1,1,0,1,2,186,185,1,61,56,1,60,1,16,13,3,0.231,0.094,0,16,13,3,0.231,0.095,0,1,0,1,0,0,0,-0.58,-4.1,-1.6,-6.59,995.289,0.02,19
hash_wecount,-1.29,-0.41,0,305,D,1,1,0,1,2,305,305,0,99,95,0,99,0,40,14,26,1.857,0.151,1,40,14,26,1.857,0.151,1,0,0,0,0,0,0,-1.01,-5.91,-0.58,-3.01,0,0,12
hash_myrightmydecision,-3.04,-1.19,0,130,D,1,1,0,1,2,130,130,0,80,63,0,80,0,9,6,3,0.5,0.074,0,9,6,3,0.5,0.074,0,0,0,0,0,0,0,-0.31,-4.52,-1.16,-3.79,0,0,22
rollback,-1.89,-1.1,0,356,D,1,1,0,1,1,383,356,25,179,113,16,156,21,24,11,13,1.182,0.067,0,24,11,13,1.182,0.072,0,2,2,0,0.087,0,0,-0.73,-4.54,-0.98,-5.52,-0.35,-0.51,8
hash_rentreliefnow,-3.21,-1.61,0,156,D,1,1,0,1,2,157,156,0,59,52,0,58,0,16,16,0,0,0.113,0,16,16,0,0,0.114,0,0,0,0,0,0,0,-0.42,-3.38,-1.67,-6.01,0,0,18
hash_familiesbelongtogether,-2.64,-1.22,0,221,D,1,1,0,1,2,223,221,2,86,57,0,84,2,27,18,9,0.5,0.138,0,27,18,9,0.5,0.139,0,1,1,0,1,0,0,-0.49,-3.01,-1.29,-5.06,0,0,27
hash_ericgarner,-5.11,-2.39,0,122,D,1,1,0,1,2,123,122,1,56,26,0,55,1,16,7,9,1.286,0.15,0,16,7,9,1.286,0.151,0,1,0,1,0,0,0,-0.16,-3.21,-2.7,-5.4,0,0,15
