state,houseDist,house_cand_dem,dem_house_percent,dem_house_inc,dem_house_avgIdeal,house_cand_rep,rep_house_percent,rep_house_inc,rep_house_avgIdeal,gov_cand_dem,gov_candStem_dem,dem_gov_percent,gov_inc_dem,dem_gov_avgIdeal,gov_cand_rep,gov_candStem_rep,rep_gov_percent,gov_inc_rep,rep_gov_avgIdeal
Utah,UT-02,Kael Weston,0.3830510776,0,-0.9,Chris Stewart,0.6169489224,1,1.24,CHRIS PETERSON,UT-Gov-peterson_chris-,0.3690503564,0,-0.83,SPENCER J COX,UT-Gov-cox_spencer-,0.6309496436,0,1
Utah,UT-03,Devin Thorpe,0.280290365,0,-0.9,John Curtis,0.719709635,1,0.93,CHRIS PETERSON,UT-Gov-peterson_chris-,0.2842139489,0,-0.83,SPENCER J COX,UT-Gov-cox_spencer-,0.7157860511,0,1
Utah,UT-04,Ben McAdams,0.4947062942,1,-0.32,Burgess Owens,0.5052937058,0,1.31,CHRIS PETERSON,UT-Gov-peterson_chris-,0.3699182404,0,-0.83,SPENCER J COX,UT-Gov-cox_spencer-,0.6300817596,0,1
Vermont,VT-00,Peter Welch,0.7136471073,1,-0.99,Miriam Berry,0.2863528927,0,1.08,DAVID ZUCKERMAN,VT-Gov-zuckerman_david-,0.2854044289,0,NA,PHIL SCOTT,VT-Gov-scott_phil-,0.7145955711,1,0.7
Washington,WA-01,Suzan DelBene,0.586239976,1,-0.71,Jeffrey Beeler,0.413760024,0,0.94,JAY INSLEE,WA-Gov-inslee_jay-,0.6962014226,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.3037985774,0,1.49
Washington,WA-02,Rick Larsen,0.6323816508,1,-0.51,Timothy Hazelo,0.3676183492,0,1.16,JAY INSLEE,WA-Gov-inslee_jay-,0.6032033254,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.3967966746,0,1.49
Washington,WA-03,Carolyn Long,0.4349620796,0,-0.58,Jaime Herrera Beutler,0.5650379204,1,0.51,JAY INSLEE,WA-Gov-inslee_jay-,0.4587115631,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.5412884369,0,1.49
Washington,WA-04,Doug McKinley,0.3368616192,0,-0.48,Dan Newhouse,0.6631383808,1,0.56,JAY INSLEE,WA-Gov-inslee_jay-,0.3760942009,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.6239057991,0,1.49
Washington,WA-05,Dave Wilson,0.3859155697,0,-1.01,Cathy McMorris Rodgers,0.6140844303,1,0.95,JAY INSLEE,WA-Gov-inslee_jay-,0.4268591987,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.5731408013,0,1.49
Washington,WA-06,Derek Kilmer,0.5944782947,1,-0.48,Elizabeth Kreiselmaier,0.4055217053,0,1.05,JAY INSLEE,WA-Gov-inslee_jay-,0.5583485949,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.4416514051,0,1.49
Washington,WA-07,Pramila Jayapal,0.8318681248,1,-1.49,Craig Keller,0.1681318752,0,1.43,JAY INSLEE,WA-Gov-inslee_jay-,0.7417486731,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.2582513269,0,1.49
Washington,WA-08,Kim Schrier,0.5178594859,1,-0.38,Jesse Jensen,0.4821405141,0,1.03,JAY INSLEE,WA-Gov-inslee_jay-,0.6960845056,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.3039154944,0,1.49
Washington,WA-09,Adam Smith,0.7425961638,1,-0.91,Douglas Michael Basler,0.2574038362,0,1.35,JAY INSLEE,WA-Gov-inslee_jay-,0.7411604335,1,-1.06,LOREN CULP,WA-Gov-culp_loren-,0.2588395665,0,1.49
West Virginia,WV-01,Natalie Cline,0.3102325493,0,-0.82,David McKinley,0.6897674507,1,0.64,BEN SALANGO,WV-Gov-salango_ben-,0.3181658608,0,-0.49,JIM JUSTICE,WV-Gov-justice_jim-,0.6818341392,1,0.71
West Virginia,WV-02,Cathy Kunkel,0.3692352213,0,-0.84,Alex Mooney,0.6307647787,1,1.02,BEN SALANGO,WV-Gov-salango_ben-,0.35943464,0,-0.49,JIM JUSTICE,WV-Gov-justice_jim-,0.64056536,1,0.71
West Virginia,WV-03,Hilary Turner,0.2866382355,0,-1.22,Carol Miller,0.7133617645,1,0.78,BEN SALANGO,WV-Gov-salango_ben-,0.2853306286,0,-0.49,JIM JUSTICE,WV-Gov-justice_jim-,0.7146693714,1,0.71
