term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
democratic,-1.4,-0.76,0,748,D,1,1,0,1,1,875,748,124,451,117,16,356,92,18,14,4,0.286,0.021,0,18,14,4,0.286,0.025,0,6,5,1,0.051,0.2,0,-0.81,-5.61,-0.54,-2.8,-0.076,-0.08,10
congress,1.37,0.25,0,4342,D,1,1,1,1,1,7164,4342,2809,1362,209,157,723,634,71,52,19,0.365,0.01,0,71,52,19,0.365,0.017,0,43,38,5,0.016,0.132,0,0.96,2,0.53,6.98,0.315,2.43,8
control,-1.24,0.18,0,734,D,1,1,1,1,1,1437,734,694,704,76,81,351,348,18,15,3,0.2,0.013,0,15,13,2,0.154,0.021,0,18,13,5,0.027,0.385,0,0.74,6.38,0.57,2.07,1.144,3.51,7
opportunity,-0.67,-0.51,0,1548,D,1,1,0,1,1,2302,1548,744,872,143,71,527,340,45,29,16,0.552,0.02,0,29,22,7,0.318,0.019,0,45,22,23,0.064,1.045,1,-0.48,-2.66,-0.25,-1.66,-0.051,-0.15,11
continue,0.17,0.31,0,1426,D,1,1,1,1,1,2290,1426,859,928,150,98,520,403,18,17,1,0.059,0.008,0,18,17,1,0.059,0.013,0,13,11,2,0.015,0.182,0,0.4,1.69,0.59,4.18,0.391,1.66,8
taxes,-0.87,1.08,0,616,D,1,1,1,1,1,1438,616,807,665,59,91,294,369,23,16,7,0.438,0.016,0,16,14,2,0.143,0.027,0,23,16,7,0.029,0.438,0,1.03,7.46,1.36,4.15,1.18,4.28,5
debt,-0.84,0.27,0,850,D,1,1,1,1,1,1460,850,607,599,85,68,363,234,88,21,67,3.19,0.064,1,21,17,4,0.235,0.025,0,88,16,72,0.17,4.5,1,0.52,3.04,0.61,2.63,1.297,3.84,4
fiscal,-1.67,0.45,0,151,D,1,1,1,1,1,332,151,181,208,43,36,95,113,16,7,9,1.286,0.051,0,7,6,1,0.167,0.049,0,16,6,10,0.097,1.667,0,0.22,2.58,0.75,2,0.939,1.84,6
police,-2.36,-1.2,0,1121,D,1,1,1,1,1,1469,1121,345,451,62,16,300,149,75,37,38,1.027,0.054,1,75,37,38,1.027,0.072,1,13,11,2,0.039,0.182,0,-0.24,-1.74,-0.93,-3.7,-1.958,-2.97,6
policing,-2.69,-0.93,0,399,D,1,1,0,1,1,430,399,28,199,43,2,174,22,37,18,19,1.056,0.094,0,37,18,19,1.056,0.102,0,3,3,0,0.12,0,0,-0.21,-2.6,-0.66,-1.96,-3.698,-2.23,8
