row,candidate,stateDist,avgIdeal,idealTwitter,idealWeb,twWeight,candStem,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,party,partyLeader,incumbent,primaryPct,screenName,officialScreenName,followersCampaign,followersOfficial,house,rep,generalElec,generalElecJungle,district
2279,Clifford Adkins,TN-Sen02,NA,NA,NA,NA,TN-Sen02-adkins_clifford-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.8,NA,NA,NA,NA,0,1,0,0,TN-Se
2280,David Schuster,TN-Sen02,NA,NA,NA,NA,TN-Sen02-schuster_danny-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,0.3,NA,NA,NA,NA,0,1,0,0,TN-Se
2281,Gary Davis,TN-Sen02,NA,NA,NA,NA,TN-Sen02-davis_gary-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,9.4,NA,NA,NA,NA,0,0,0,0,TN-Se
2282,George Flinn Sr.,TN-Sen02,0.94,1.29,0.87,0.17,TN-Sen02-flinnsr_george-,0,0,0,NA,1.034735001,0.5,0.87,0.0279,2677,1.29,0.0176,6251,R,0,0,3.4,@GeorgeFlinn,NA,NA,NA,0,1,0,0,TN-Se
2283,Glen Neal,TN-Sen02,1.64,1.64,NA,1,TN-Sen02-neal_glen-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.64,0.0336,1385,R,0,0,0.2,@GlenNeal8,NA,NA,NA,0,1,0,0,TN-Se
2284,James Mackler,TN-Sen02,-0.67,-0.81,-0.49,0.55,TN-Sen02-mackler_james-,0,0,0,NA,-0.870059059,0.5,-0.49,0.0588,886,-0.81,0.0172,12788,D,0,0,23.8,@James_Mackler,NA,19256,NA,0,0,0,0,TN-Se
2285,John Osborne,TN-Sen02,1.13,NA,1.13,0,TN-Sen02-osborne_john-,0,0,0,NA,1.034735001,0.5,1.13,0.0721,390,NA,NA,NA,R,0,0,0.3,NA,NA,NA,NA,0,1,0,0,TN-Se
2286,Jon Henry,TN-Sen02,NA,NA,NA,NA,TN-Sen02-henry_jon-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,1.2,NA,NA,NA,NA,0,1,0,0,TN-Se
2287,Kent Morrell,TN-Sen02,1.03,NA,1.03,0,TN-Sen02-morrell_kent-,0,0,0,NA,1.034735001,0.5,1.03,0.0622,570,NA,NA,NA,R,0,0,0.3,@kent_morrell,NA,NA,NA,0,1,0,0,TN-Se
2288,Lamar Alexander,TN-Sen02,0.46,0.46,NA,1,TN-Sen02-alexander_lamar-,0,0,1,0.491714077,0.491714077,0.5,NA,NA,NA,0.46,0.0098,25168,R,0,1,NA,NA,@SenAlexander,NA,NA,0,1,0,0,TN-Se
2289,Manny Sethi,TN-Sen02,1.2,NA,1.2,0,TN-Sen02-sethi_manny-,0,0,0,NA,1.034735001,0.5,1.2,0.0506,593,NA,NA,NA,R,0,0,39.4,NA,NA,NA,NA,0,1,0,0,TN-Se
2290,Mark Pickrell,TN-Sen02,-0.84,NA,-0.84,0,TN-Sen02-pickrell_mark-,0,0,0,NA,-0.870059059,0.5,-0.84,0.1004,470,NA,NA,NA,D,0,0,4.8,@MarkPickrell3,NA,NA,NA,0,0,0,0,TN-Se
2291,Marquita Bradshaw,TN-Sen02,-1.17,-1.24,-1.15,0.21,TN-Sen02-bradshaw_marquita-,0,0,0,NA,-0.870059059,0.5,-1.15,0.0496,939,-1.24,0.0285,3025,D,0,0,35.5,@Bradshaw2020,NA,54264,NA,0,0,1,0,TN-Se
